Configuration	Teste.ioc
STM8CubeMX 	1.2.0
Date	12/20/2017
MCU	STM8L052R8Tx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN0	ADC1_IN0	PA6
ADC1	IN1	ADC1_IN1	PA5
ADC1	IN2	ADC1_IN2	PA4
I2C1	I2C	I2C1_SCL	PC1
I2C1	I2C	I2C1_SDA	PC0
SPI1	Transmit Only Master	SPI1_MOSI	PB6
SPI1	Transmit Only Master	SPI1_SCK	PB5
SPI1	Hardware NSS Input Signal	SPI1_NSS	PB4
SYS	SWIM Input and Output	SYS_SWIM	PA0
USART1	Asynchronous	USART1_RX	PC2
USART1	Asynchronous	USART1_TX	PC3



Pin Nb	PINs	FUNCTIONs	LABELs
1	PA0	SYS_SWIM	
3	PA2	GPIO_Input	GATE
4	PA3	GPIO_Input	ZERO_CROSS
5	PA4	ADC1_IN2	STEP
6	PA5	ADC1_IN1	CORRENTE
7	PA6	ADC1_IN0	AC_IN
33	PB2	GPIO_Output	GLCD_RESET
34	PB3	GPIO_Output	GLCD_CSI
35	PB4	SPI1_NSS	GLCD_A0
36	PB5	SPI1_SCK	
37	PB6	SPI1_MOSI	
52	PG7	GPIO_Output	I2C_IRQ
53	PC0	I2C1_SDA	
54	PC1	I2C1_SCL	
57	PC2	USART1_RX	
58	PC3	USART1_TX	
